Category,Price,Rating,Stock,Discount
A,5548.0,1.870322015500628,In Stock,0.0
C,3045.0,4.757798057831803,Out of Stock,38.0
C,4004.0,1.5916375976117414,In Stock,0.0
A,4808.0,1.492084885301209,In Stock,33.0
D,1817.0,1.8585834200598685,Out of Stock,23.0
A,3522.0,2.1970396834111465,In Stock,17.42
C,667.0,3.668340748490816,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
D,463.0,4.626187280896929,Out of Stock,3.0
A,1151.0,2.947838084766442,Out of Stock,23.78
A,3772.0,4.890749963096654,In Stock,45.0
B,7719.0,2.9822417824846874,In Stock,4.0
C,8416.0,1.2709427320459683,Out of Stock,29.0
B,8530.0,3.1196559157030417,Out of Stock,10.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.479063511857313,In Stock,28.0
C,6543.98,4.097463656949772,Out of Stock,40.0
D,2066.0,3.01657856015934,In Stock,30.0
B,1784.0,3.179602879404419,In Stock,12.0
D,5589.0,2.679280550877907,Out of Stock,39.0
C,4896.352949334979,2.504816812961165,Out of Stock,25.0
C,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
C,7011.0,3.8261397929555754,In Stock,38.0
C,8418.0,3.5670895307009673,Out of Stock,20.26
B,3405.0,3.059379062110365,In Stock,48.0
D,1732.0,2.8432419814882075,Out of Stock,27.78
B,5850.0,2.264393100564309,Out of Stock,43.0
C,6405.787333333334,2.357527106379227,Out of Stock,22.0
C,704.0,2.8467289188799496,In Stock,47.0
A,2343.0,1.8632245113185228,Out of Stock,17.0
B,6891.098165084916,3.8266256840572375,In Stock,29.08
D,1910.0,3.8494948825094535,Out of Stock,14.0
D,9307.0,3.1591193224810836,Out of Stock,21.0
C,2331.0,3.95225743506134,Out of Stock,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644624,Out of Stock,43.0
B,5607.0,4.789502194485456,Out of Stock,15.0
A,4730.0,2.9094746403453966,In Stock,30.0
D,9230.0,2.2982244000080025,Out of Stock,8.0
C,1112.0,2.8551089511607315,In Stock,38.0
B,4390.0,2.9139424693366185,In Stock,34.0
B,8484.0,2.3645549733991307,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
D,4589.0,3.264763832538878,Out of Stock,47.0
A,2260.0,1.8967719446099958,In Stock,37.0
B,1759.0,4.45534399355245,In Stock,37.0
C,7190.0,1.9243054921681804,In Stock,15.9
B,8675.0,2.778260648243727,Out of Stock,29.28
D,5412.0,4.067941856778693,Out of Stock,24.0
A,6304.0,2.792686268193908,In Stock,31.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,3.125413975054829,In Stock,17.0
B,3445.0,2.2414092418693317,In Stock,3.0
B,8421.0,1.338253810015713,In Stock,2.0
C,3236.0,4.951183214408314,Out of Stock,2.0
A,1624.0,2.0535369797400262,Out of Stock,34.0
D,806.0,4.170806833653488,Out of Stock,8.0
C,9888.0,3.345325129190756,In Stock,29.0
C,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,2.877955697759561,Out of Stock,32.0
D,2251.0,3.490442100786564,Out of Stock,25.0
C,7842.0,1.7135593685832502,Out of Stock,30.0
A,5006.0,3.835636273769511,Out of Stock,22.54
B,3182.0,2.6828328519964226,In Stock,13.0
D,1136.0,3.1817631990730257,Out of Stock,19.0
B,1066.0,3.682438830883446,Out of Stock,10.0
B,1029.0,4.464129272916702,In Stock,38.0
A,1788.0,3.7506770067348145,Out of Stock,7.0
C,6249.0,2.444504179977088,In Stock,16.0
D,8026.0,4.017223317164087,Out of Stock,46.0
A,9516.0,1.6573504366560314,In Stock,5.0
D,859.0,1.2279456432932538,Out of Stock,49.0
D,6792.0,2.4937906347326475,In Stock,26.0
B,8631.0,3.3084805096007277,In Stock,10.0
B,6491.0,4.645463936808445,Out of Stock,16.0
C,5935.46,4.036652101229622,In Stock,33.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
A,1962.0,4.976201301561568,In Stock,6.0
D,2119.0,3.661720155583746,In Stock,40.0
A,1441.0,3.41463486419962,In Stock,43.0
A,6884.0,3.1260606491436636,In Stock,49.0
D,2544.0,3.4491807136478227,In Stock,25.6
B,6114.0,2.6588922102171697,In Stock,44.0
D,8117.0,3.659822610452293,In Stock,45.0
C,5627.7519999999995,2.581053762448872,Out of Stock,36.0
A,4077.0,3.1962126647583,Out of Stock,28.0
D,2877.0,3.1301621702727505,Out of Stock,49.0
B,8723.0,3.750973129417399,Out of Stock,41.0
B,8651.0,4.282273713935922,Out of Stock,2.0
C,3282.0,2.749722883433617,Out of Stock,40.0
D,9493.0,2.7804614226232114,Out of Stock,34.0
C,6578.0,3.125260769236996,In Stock,28.0
A,7187.0,2.9752172308200953,In Stock,12.0
A,1435.0,2.3748951588722504,In Stock,23.0
A,1561.0,2.8560894572721987,In Stock,6.0
D,2778.0,4.647670825820734,In Stock,43.0
A,4752.0,4.589987920715608,In Stock,1.0
B,4502.0,3.2076509792436063,In Stock,40.0
A,4869.553452380952,3.581333617449967,In Stock,1.0
C,578.0,3.688162019635981,Out of Stock,36.0
C,3137.0,2.530595786094526,Out of Stock,49.0
C,7417.0,3.516107651706844,In Stock,43.0
C,8024.0,3.132755907451505,Out of Stock,2.0
C,5250.0,2.5376642217105867,Out of Stock,6.0
A,6554.0,2.692842221547918,In Stock,29.0
A,7267.0,3.360432869663556,In Stock,24.0
C,6122.0,2.5677161236461608,In Stock,15.0
C,1362.0,3.9136540296959086,Out of Stock,33.32
A,6562.0,3.6193144852124495,Out of Stock,3.0
C,6879.0,2.999194644089658,In Stock,8.0
D,6117.0,4.858685977036779,In Stock,4.0
C,3182.0,4.874851836156545,In Stock,49.0
D,5427.0,3.8569421626776315,Out of Stock,15.0
