Category,Price,Rating,Stock,Discount
C,5548.0,1.870322015500628,Out of Stock,0.0
C,3045.0,4.757798057831803,In Stock,38.0
C,4004.0,3.0196480168427042,In Stock,0.0
C,4808.0,1.492084885301209,In Stock,33.0
B,1817.0,3.010619734277023,Out of Stock,23.0
C,3522.0,3.0255167231027857,In Stock,24.446567828778015
C,667.0,3.668340748490816,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
B,463.0,4.626187280896929,Out of Stock,3.0
A,1151.0,2.947838084766442,Out of Stock,24.335809715986887
A,3772.0,4.890749963096654,In Stock,45.0
C,7719.0,2.9822417824846874,In Stock,4.0
C,8416.0,1.2709427320459683,In Stock,29.0
B,8530.0,3.061747069241895,Out of Stock,10.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.479063511857313,In Stock,28.0
C,5016.986047014707,4.097463656949772,In Stock,40.0
D,2066.0,3.0155067875588784,In Stock,30.0
B,1784.0,3.0058823316770993,Out of Stock,12.0
C,5589.0,3.0487784003727962,In Stock,39.0
C,5016.97117000183,3.0383050370229854,Out of Stock,25.0
C,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
C,7011.0,3.0603069501621443,In Stock,38.0
C,8418.0,3.066742043201867,In Stock,24.67527695520223
C,3405.0,3.0340634643875024,In Stock,48.0
D,1732.0,3.0104169443351645,Out of Stock,24.362950755675147
B,5850.0,2.264393100564309,Out of Stock,43.0
C,5016.968122519007,2.357527106379227,In Stock,22.0
B,704.0,3.010966367870959,In Stock,47.0
C,2343.0,1.8632245113185228,Out of Stock,17.0
C,5016.970674513465,3.0381046815577606,In Stock,24.51640308960273
B,1910.0,3.8494948825094535,Out of Stock,14.0
C,9307.0,3.072735206174673,Out of Stock,21.0
C,2331.0,3.95225743506134,In Stock,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644624,Out of Stock,43.0
C,5607.0,4.789502194485456,Out of Stock,15.0
C,4730.0,3.037902261036031,In Stock,30.0
C,9230.0,3.066807994506911,Out of Stock,8.0
B,1112.0,3.0107476332658973,In Stock,38.0
C,4390.0,3.036666468853047,In Stock,34.0
C,8484.0,3.071898376781432,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
C,4589.0,3.043632076094315,Out of Stock,47.0
A,2260.0,3.020015507305158,In Stock,37.0
B,1759.0,4.45534399355245,In Stock,37.0
C,7190.0,1.9243054921681804,In Stock,24.617909802126544
C,8675.0,2.778260648243727,Out of Stock,24.687278382947785
C,5412.0,3.041227600297761,Out of Stock,24.0
A,6304.0,3.051572492746573,In Stock,31.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,3.075197449945877,In Stock,17.0
B,3445.0,3.01617685898271,In Stock,3.0
C,8421.0,1.338253810015713,In Stock,2.0
C,3236.0,4.951183214408314,Out of Stock,2.0
B,1624.0,3.013455076436135,Out of Stock,34.0
B,806.0,4.170806833653488,Out of Stock,8.0
C,9888.0,3.0808440579385934,In Stock,29.0
C,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,3.0323854093291533,Out of Stock,32.0
D,2251.0,3.0150353045466565,Out of Stock,25.0
C,7842.0,3.0640601858485477,In Stock,30.0
A,5006.0,3.835636273769511,Out of Stock,24.515891975231185
C,3182.0,3.0180227811308447,Out of Stock,13.0
B,1136.0,3.003264628592648,Out of Stock,19.0
B,1066.0,2.999043230907755,Out of Stock,10.0
B,1029.0,4.464129272916702,In Stock,38.0
B,1788.0,3.003893485960495,Out of Stock,7.0
C,6249.0,3.044991564064484,In Stock,16.0
D,8026.0,3.0720607105365634,In Stock,46.0
A,9516.0,1.6573504366560314,Out of Stock,5.0
B,859.0,1.2279456432932538,In Stock,49.0
C,6792.0,2.4937906347326475,In Stock,26.0
C,8631.0,3.3084805096007277,In Stock,10.0
C,6491.0,4.645463936808445,Out of Stock,16.0
C,5016.979150076551,4.036652101229622,In Stock,33.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
A,1962.0,4.976201301561568,In Stock,6.0
B,2119.0,3.661720155583746,In Stock,40.0
B,1441.0,3.41463486419962,In Stock,43.0
C,6884.0,3.0636967786604923,In Stock,49.0
D,2544.0,3.01725415020127,Out of Stock,24.400882089551057
B,6114.0,3.055211639586782,In Stock,44.0
C,8117.0,3.0724349390395007,In Stock,45.0
C,5016.981936048622,2.581053762448872,Out of Stock,36.0
A,4077.0,3.0316608418939373,Out of Stock,28.0
D,2877.0,3.1301621702727505,Out of Stock,49.0
B,8723.0,3.750973129417399,In Stock,41.0
C,8651.0,4.282273713935922,Out of Stock,2.0
C,3282.0,3.02981542427474,Out of Stock,40.0
D,9493.0,2.7804614226232114,Out of Stock,34.0
C,6578.0,3.125260769236996,In Stock,28.0
C,7187.0,3.051251338533272,In Stock,12.0
B,1435.0,3.007397186533308,Out of Stock,23.0
B,1561.0,2.8560894572721987,In Stock,6.0
C,2778.0,4.647670825820734,In Stock,43.0
A,4752.0,4.589987920715608,In Stock,1.0
C,4502.0,3.0400383942604603,In Stock,40.0
