Category,Price,Rating,Stock,Discount
C,5548.0,1.870322015500628,In Stock,0.0
C,3045.0,4.757798057831803,Out of Stock,38.0
C,4004.0,3.3433778816486828,In Stock,0.0
B,4808.0,1.492084885301209,Out of Stock,33.0
C,1817.0,4.460781395027918,Out of Stock,23.0
C,3522.0,3.122842230083201,Out of Stock,24.666666666666668
C,667.0,3.668340748490816,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
C,463.0,4.626187280896929,Out of Stock,3.0
A,1151.0,2.947838084766442,In Stock,28.666666666666668
A,3772.0,4.890749963096654,In Stock,45.0
C,7719.0,2.9822417824846874,In Stock,4.0
C,8416.0,1.2709427320459683,Out of Stock,29.0
B,8530.0,4.047077880603008,In Stock,10.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.479063511857313,In Stock,28.0
B,4393.333333333333,4.097463656949772,Out of Stock,40.0
D,2066.0,3.3662232564866983,In Stock,30.0
B,1784.0,2.629960630355001,In Stock,12.0
C,5589.0,4.093112652123445,Out of Stock,39.0
C,4076.0,2.127032163543205,Out of Stock,25.0
C,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
B,7011.0,3.3704500946731777,In Stock,38.0
C,8418.0,2.5286079820093037,In Stock,18.0
B,3405.0,2.530853737566348,In Stock,48.0
D,1732.0,3.732025455056793,Out of Stock,18.333333333333332
B,5850.0,2.264393100564309,Out of Stock,43.0
A,2668.3333333333335,2.357527106379227,Out of Stock,22.0
B,704.0,2.498097366004181,In Stock,47.0
C,2343.0,1.8632245113185228,Out of Stock,17.0
C,5016.970630372492,3.0382925191086185,In Stock,24.516624685138538
C,1910.0,3.8494948825094535,Out of Stock,14.0
C,9307.0,2.6774038264765756,Out of Stock,21.0
C,2331.0,3.95225743506134,In Stock,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644624,Out of Stock,43.0
D,5607.0,4.789502194485456,Out of Stock,15.0
C,4730.0,3.3662232564866983,In Stock,30.0
B,9230.0,2.9472444280568024,In Stock,8.0
C,1112.0,3.3704500946731777,In Stock,38.0
B,4390.0,3.524116595104855,In Stock,34.0
C,8484.0,3.79178558049232,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
C,4589.0,3.9597207145621725,Out of Stock,47.0
A,2260.0,2.956023332983556,In Stock,37.0
B,1759.0,4.45534399355245,In Stock,37.0
C,7190.0,1.9243054921681804,In Stock,29.0
C,8675.0,2.778260648243727,Out of Stock,20.333333333333332
C,5412.0,4.460781395027918,Out of Stock,24.0
A,6304.0,3.568657236720439,In Stock,31.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,2.9824241378577088,In Stock,17.0
B,3445.0,3.214699558066551,In Stock,3.0
C,8421.0,1.338253810015713,In Stock,2.0
C,3236.0,4.951183214408314,Out of Stock,2.0
B,1624.0,4.011505009715937,Out of Stock,34.0
B,806.0,4.170806833653488,Out of Stock,8.0
B,9888.0,2.270739919694986,In Stock,29.0
B,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,3.4766675891986587,Out of Stock,32.0
D,2251.0,2.7268556665209744,Out of Stock,25.0
B,7842.0,3.3662232564866983,In Stock,30.0
A,5006.0,3.835636273769511,Out of Stock,21.666666666666668
C,3182.0,2.3498776140273834,In Stock,13.0
B,1136.0,2.0776519187249445,Out of Stock,19.0
B,1066.0,4.262871618461267,Out of Stock,10.0
B,1029.0,4.464129272916702,Out of Stock,38.0
C,1788.0,3.537303868483949,Out of Stock,7.0
D,6249.0,3.3337930212572253,In Stock,16.0
D,8026.0,2.9673068225236157,In Stock,46.0
A,9516.0,1.6573504366560314,In Stock,5.0
B,859.0,1.2279456432932538,In Stock,49.0
C,6792.0,2.4937906347326475,Out of Stock,26.0
B,8631.0,3.3084805096007277,In Stock,10.0
D,6491.0,4.645463936808445,Out of Stock,16.0
C,8338.666666666666,4.036652101229622,In Stock,33.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
