Category,Price,Rating,Stock,Discount
Missing,5548.0,1.870322015500628,Missing,0.0
Missing,3045.0,4.757798057831803,Missing,38.0
Missing,4004.0,3.0382925191086185,In Stock,0.0
Missing,4808.0,1.492084885301209,Missing,33.0
Missing,1817.0,3.0382925191086185,Out of Stock,23.0
Missing,3522.0,3.0382925191086185,Missing,24.516624685138538
C,667.0,3.668340748490816,In Stock,41.0
A,7125.0,4.983998118378299,Out of Stock,7.0
A,2777.0,2.678384421487482,In Stock,6.0
Missing,463.0,4.626187280896929,Missing,3.0
A,1151.0,2.947838084766442,Missing,24.516624685138538
A,3772.0,4.890749963096654,In Stock,45.0
Missing,7719.0,2.9822417824846874,In Stock,4.0
C,8416.0,1.2709427320459683,Missing,29.0
B,8530.0,3.0382925191086185,Missing,10.0
A,7936.0,3.032832041059039,In Stock,44.0
B,9319.0,3.479063511857313,In Stock,28.0
Missing,5016.970630372492,4.097463656949772,Missing,40.0
D,2066.0,3.0382925191086185,Missing,30.0
B,1784.0,3.0382925191086185,Missing,12.0
Missing,5589.0,3.0382925191086185,Missing,39.0
C,5016.970630372492,3.0382925191086185,Out of Stock,25.0
Missing,4176.0,2.264050691550675,In Stock,42.0
D,407.0,2.7742698776847985,In Stock,44.0
Missing,7011.0,3.0382925191086185,In Stock,38.0
Missing,8418.0,3.0382925191086185,Missing,24.516624685138538
Missing,3405.0,3.0382925191086185,In Stock,48.0
D,1732.0,3.0382925191086185,Missing,24.516624685138538
B,5850.0,2.264393100564309,Out of Stock,43.0
Missing,5016.970630372492,2.357527106379227,Missing,22.0
Missing,704.0,3.0382925191086185,In Stock,47.0
Missing,2343.0,1.8632245113185228,Out of Stock,17.0
Missing,5016.970630372492,3.0382925191086185,Missing,24.516624685138538
Missing,1910.0,3.8494948825094535,Out of Stock,14.0
Missing,9307.0,3.0382925191086185,Out of Stock,21.0
Missing,2331.0,3.95225743506134,Missing,43.0
D,6164.0,4.305789482267322,Out of Stock,1.0
B,8060.0,1.9058024886644624,Out of Stock,43.0
Missing,5607.0,4.789502194485456,Missing,15.0
Missing,4730.0,3.0382925191086185,In Stock,30.0
Missing,9230.0,3.0382925191086185,Missing,8.0
Missing,1112.0,3.0382925191086185,In Stock,38.0
Missing,4390.0,3.0382925191086185,In Stock,34.0
Missing,8484.0,3.0382925191086185,Out of Stock,36.0
D,6415.0,4.984170226351978,Out of Stock,12.0
Missing,4589.0,3.0382925191086185,Out of Stock,47.0
A,2260.0,3.0382925191086185,In Stock,37.0
Missing,1759.0,4.45534399355245,Missing,37.0
Missing,7190.0,1.9243054921681804,In Stock,24.516624685138538
Missing,8675.0,2.778260648243727,Out of Stock,24.516624685138538
Missing,5412.0,3.0382925191086185,Out of Stock,24.0
A,6304.0,3.0382925191086185,Missing,31.0
C,9870.0,2.8036864935783328,Out of Stock,37.0
C,1134.0,2.886833030618752,In Stock,15.0
B,9795.0,3.0382925191086185,In Stock,17.0
B,3445.0,3.0382925191086185,In Stock,3.0
Missing,8421.0,1.338253810015713,In Stock,2.0
Missing,3236.0,4.951183214408314,Out of Stock,2.0
Missing,1624.0,3.0382925191086185,Out of Stock,34.0
Missing,806.0,4.170806833653488,Missing,8.0
Missing,9888.0,3.0382925191086185,Missing,29.0
Missing,8773.0,1.865998304807294,Out of Stock,17.0
D,3977.0,3.0382925191086185,Out of Stock,32.0
D,2251.0,3.0382925191086185,Missing,25.0
Missing,7842.0,3.0382925191086185,Missing,30.0
A,5006.0,3.835636273769511,Out of Stock,24.516624685138538
Missing,3182.0,3.0382925191086185,Missing,13.0
Missing,1136.0,3.0382925191086185,Missing,19.0
Missing,1066.0,3.0382925191086185,Out of Stock,10.0
B,1029.0,4.464129272916702,Missing,38.0
Missing,1788.0,3.0382925191086185,Out of Stock,7.0
Missing,6249.0,3.0382925191086185,In Stock,16.0
D,8026.0,3.0382925191086185,Missing,46.0
A,9516.0,1.6573504366560314,Missing,5.0
Missing,859.0,1.2279456432932538,Missing,49.0
Missing,6792.0,2.4937906347326475,Missing,26.0
Missing,8631.0,3.3084805096007277,In Stock,10.0
Missing,6491.0,4.645463936808445,Missing,16.0
Missing,5016.970630372492,4.036652101229622,In Stock,33.0
D,642.0,1.5983454005426196,Out of Stock,28.0
B,4222.0,4.213202927733002,In Stock,20.0
A,1962.0,4.976201301561568,In Stock,6.0
Missing,2119.0,3.661720155583746,Missing,40.0
Missing,1441.0,3.41463486419962,In Stock,43.0
Missing,6884.0,3.0382925191086185,In Stock,49.0
D,2544.0,3.0382925191086185,Missing,24.516624685138538
B,6114.0,3.0382925191086185,In Stock,44.0
Missing,8117.0,3.0382925191086185,In Stock,45.0
Missing,5016.970630372492,2.581053762448872,Out of Stock,36.0
A,4077.0,3.0382925191086185,Out of Stock,28.0
D,2877.0,3.1301621702727505,Out of Stock,49.0
B,8723.0,3.750973129417399,Missing,41.0
Missing,8651.0,4.282273713935922,Missing,2.0
Missing,3282.0,3.0382925191086185,Out of Stock,40.0
D,9493.0,2.7804614226232114,Out of Stock,34.0
Missing,6578.0,3.125260769236996,Missing,28.0
Missing,7187.0,3.0382925191086185,In Stock,12.0
Missing,1435.0,3.0382925191086185,Missing,23.0
Missing,1561.0,2.8560894572721987,In Stock,6.0
Missing,2778.0,4.647670825820734,Missing,43.0
A,4752.0,4.589987920715608,In Stock,1.0
Missing,4502.0,3.0382925191086185,In Stock,40.0
Missing,5016.970630372492,3.0382925191086185,In Stock,1.0
Missing,578.0,3.688162019635981,Out of Stock,36.0
Missing,3137.0,2.530595786094526,Out of Stock,49.0
C,7417.0,3.516107651706844,In Stock,43.0
C,8024.0,3.0382925191086185,Missing,2.0
Missing,5250.0,3.0382925191086185,Missing,6.0
Missing,6554.0,3.0382925191086185,Missing,29.0
Missing,7267.0,3.0382925191086185,Missing,24.0
Missing,6122.0,2.5677161236461608,In Stock,15.0
Missing,1362.0,3.9136540296959086,Out of Stock,24.516624685138538
Missing,6562.0,3.6193144852124495,Out of Stock,3.0
